Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
ICD.p16.dc31.446046	A pyrosequencing study in twins shows that gastrointestinal microbial profiles vary with inflammatory bowel disease phenotypes, human gut	QDB_1070	ENVO:01000007	microbial feature	0.0823692872198	4	0.0908687678472	ENVO:00009003	ENVO:02000022	excreta	ENVO:00009003	human-associated habitat
000004485.1078117	AGP Mercola Food, FVK2 EMP D5	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
mf1207.633370	Pregnant women sampled in 1st and 3rd trimesters, their children and a germ free mouse exp., human gut	QDB_0867	ENVO:00000005	first-order administrative region	0.0844974272521	8	0.708292629533	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S166.141214	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V57, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M29.533955	Intertidal microbes 16s for 2009 and 2039, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
P.Dois.Rios.SA.1.7.488600	Rio de aneiro Coastline, marine sediment	QDB_1039	ENVO:00002113	marine sediment	0.298914463529	1	0.00206932100159	ENVO:00002007	ENVO:00000887	Large river biome	ENVO:00000045	estuary	ENVO:00002007	sediment
Hyena2.284416	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, spotted hyena gut	QDB_0626	ID:0000000	animal microbiome	0.10896751681	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
AfElphSD3.284422	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, african elephant gut	QDB_0626	ID:0000000	animal microbiome	0.110300929741	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
S53.141277	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V110, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
AK.19.12a.414608	EMP pilot, soil metagenome and 16S, soil	QDB_0808	ENVO:00001998	soil	0.19691344644	0	0.000604878446618	ENVO:00001998	ENVO:00001998	soil	ENVO:00000875	Temperate coniferous forest biome	ENVO:00000109	woodland
S121.141284	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V24, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S60.141179	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V117, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M18.533964	Intertidal microbes 16s for 2009 and 2028, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
S117.141246	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V19, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
N.12.683008	Normal saliva, human oral	QDB_0958	ENVO:02000036	saliva	0.313852259844	0	0.000604878446618	ENVO:02000036	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
MDB7.660769	Kelley nicu contamination, Swab was taken from NICU door button surface2 MB	QDB_0386	ID:0000020	mouth	0.122503595655	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
S41.141304	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V101, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S108.141320	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V10, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S47.141287	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V105, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PLRP21.150.589044	Pavilion Lake Research Project, 150	QDB_0809	ENVO:00000020	lake	0.249473471024	1	0.00206932100159	ENVO:00000892	ENVO:00000892	Small lake biome	ENVO:00001995	rock
MBT14.660752	Kelley nicu contamination, Swab was taken from NICU baby open bedside touch screen on vitals monitoring device MB	QDB_0386	ID:0000020	mouth	0.088033258629	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
000004452.1078112	AGP Mercola Food, Greek Yogurt	QDB_2013	ENVO:00002190	yogurt	0.234805678055	6	0.365683897177	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
E2B05BALA.481431	Lung HIV Microbiome Project, human lung	QDB_1020	ID:0000000	animal microbiome	0.224446025507	3	0.0342097930214	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
S129.141216	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V28, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004491.1078100	AGP Mercola Food, FVK2 DOC D5	QDB_2013	ENVO:00002002	food product	0.121160754113	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S86.141173	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V139, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
waterfilter.IE.50.609528	spatial series of transects through gradients in Yellowstone, water filter	QDB_0925	ENVO:00003968	air filter	0.122487802	8	0.708292629533	ENVO:00002011	ENVO:00002030	aquatic biome	ENVO:00002011	fresh water	ENVO:00000051	hot spring
000004511.1078172	AGP Mercola Food, FerSprD8	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
H4.mar09.823540	Comparison of groundwater samples from karst sinkholes (cenotes) from the Yucatan Peninsula, Mexico, groundwater	QDB_0861	ENVO:00000195	sinkhole	0.128705580742	5	0.2001811416	ENVO:00000026	ENVO:00002011	fresh water	ENVO:00000873	freshwater biome	ENVO:00000026	well
S165.141155	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V56, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M36.533972	Intertidal microbes 16s for 2009 and 2046, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
PO1.3.T0.830804	Ercolini whole grain feces, Fecal sample taken from individual PO1.3	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
PO1.1.T0.830861	Ercolini whole grain feces, Fecal sample taken from individual PO1.1	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
TUFP22.522474	Office Space Bacterial Abundance and Diversity in Three  Metropolitan Areas, Samples from office surfaces in New York, San Francisco and Tucson	QDB_1479	ENVO:00010504	surface	0.0677926280186	0	0.000604878446618	ENVO:00010504	ENVO:00000446	terrestrial biome	ENVO:00010504	surface
000004396.1078141	AGP Mercola Food, VegSprD5	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
M9.533957	Intertidal microbes 16s for 2009 and 2019, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
sal1.11.2.224.11.29.V1V2.481208	Lung HIV Microbiome Project, freshwater	QDB_1020	ID:0000000	animal microbiome	0.203968921366	3	0.0342097930214	ENVO:00009003	ENVO:00002010	saline water	ENVO:00009003	human-associated habitat
S154.141182	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V46, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Compost.686744	Canadian MetaMicroBiome Initiative, soil	QDB_0632	ENVO:00001998	soil	0.214151133246	0	0.000604878446618	ENVO:00001998	ENVO:00005747	compost soil	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil
Colobus.284408	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, angolan black and white colobus monkey gut	QDB_0626	ID:0000000	animal microbiome	0.0868147506762	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
Arctic.Tundra.2.686753	Canadian MetaMicroBiome Initiative, soil	QDB_0632	ENVO:00001998	soil	0.214151133246	0	0.000604878446618	ENVO:00001998	ENVO:00000874	Tundra biome	ENVO:00002262	clay soil	ENVO:00001998	soil
L.Jacarepia.SB.1.6.488588	Rio de aneiro Coastline, freshwater sediment	QDB_1039	ENVO:00000303	coast	0.18203105765	4	0.0908687678472	ENVO:00000021	ENVO:00000021	freshwater lake	ENVO:00000892	Small lake biome	ENVO:00002007	sediment
Bmec9.285930	Delivery mode effects on newborn microbiota, human rectum	QDB_0395	ID:0000018	rectum	0.185798659307	4	0.0908687678472	ENVO:00009003	ENVO:01000155	organic material	ENVO:00009003	human-associated habitat
S103.141251	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V5, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
P.Massambaba.SA.1.4.488595	Rio de aneiro Coastline, marine	QDB_1039	ENVO:00000303	coast	0.232880634976	1	0.00206932100159	ENVO:00000092	ENVO:00000092	sea beach	ENVO:00002007	sediment	ENVO:00000016	sea
S74.141313	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V129, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
L26A096.800208	Diversity and heritability of the maize rhizosphere microbiome under field conditions, rhizosphere microbiome	QDB_1792	ENVO:00005801	rhizosphere	0.171837215412	0	0.000604878446618	ENVO:00005801	ENVO:00000876	Temperate broadleaf and mixed forest biome	ENVO:00009001	plant-associated habitat	ENVO:00005801	rhizosphere
TVF.2010.Loc3.D0.Rep3.414500	Alaskan fire chronosequence - Tanana Valley, soil	QDB_1030	ENVO:00001998	soil	0.134601652037	0	0.000604878446618	ENVO:00001998	ENVO:00000876	Temperate broadleaf and mixed forest biome	ENVO:00002261	forest soil	ENVO:00001998	soil
S177.141327	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V66, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S24.141150	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V84, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004473.1078157	AGP Mercola Food, Pickle	QDB_2013	ENVO:00003928	pickled food product	0.360497727126	5	0.2001811416	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
1CB.sed.D1.660390	Saline environments that may harbor novel lignocellulolytic activities tolerant of ionic liquids, sediment	QDB_1580	ID:0000078	estuary sediment	0.22567645147	3	0.0342097930214	ENVO:00002209	ENVO:00000892	Small lake biome	ENVO:00002209	saline lake sediment	ENVO:00000569	marine habitat
UPK18.660765	Kelley nicu contamination, Swab was taken from NICU Pyxus Med machine keyboard UCSD	QDB_0386	ID:0000020	mouth	0.106696170399	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
M24.141282	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V154, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M30.141266	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V156, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
IPB012.Rectum.396922	Characterization of Bacteria in Biopsies of Colon and Stools by High Throughput Sequencing of the V2 Region of Bacterial 16S rRNA Gene in Human, human gut	QDB_0966	ID:0000050	tissue sample from biopsy	0.0814949148951	2	0.0118310790194	ENVO:01000155	ENVO:01000155	organic material	ENVO:00009003	human-associated habitat
000004504.1078165	AGP Mercola Food, Yog #2	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
5579L.478406	The antibacterial lectin RegIII  promotes the spatial segregation of microbiota and host in the intestine, mouse gut microbiome	QDB_0742	ID:0000000	animal microbiome	0.0913159395517	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
PO5.10.T0.830892	Ercolini whole grain feces, Fecal sample taken from individual PO5.10	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
DC2.733847	McDonald Forest, Douglas-fir, rep 2, soil	QDB_1038	ENVO:00002261	forest soil	0.306426593914	0	0.000604878446618	ENVO:00002261	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
TS160.2.299131	A core gut microbiome in obese and lean twins, human gut	QDB_0077	ID:0000000	animal microbiome	0.169354885318	3	0.0342097930214	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
PO5.3.T8.830838	Ercolini whole grain feces, Fecal sample taken from individual PO5.3	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S91.141157	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V143, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
KP4.141733	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562556961	5	0.2001811416	ENVO:00001998	ENVO:00005750	grassland soil	ENVO:00000107	heath	ENVO:00001998	soil
M44.141272	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V174, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
UWR20.660776	Kelley nicu contamination, Swab was taken from NICU traveling weigh cart drawer handles1 UCSD	QDB_0386	ID:0000020	mouth	0.101664047581	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
100090.518522	Sokol IBD dysfunction, human gut	QDB_1460	ID:0000002	gut	0.187888230316	3	0.0342097930214	ENVO:00009003	ENVO:01000155	organic material	ENVO:00009003	human-associated habitat
SP1.733832	Horse Ridge, western juniper, rep 1, soil	QDB_1038	ENVO:00000170	dune	0.162567499332	2	0.0118310790194	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
DC1.733841	McDonald Forest, Douglas-fir, rep 1, soil	QDB_1038	ENVO:00002261	forest soil	0.306426593914	0	0.000604878446618	ENVO:00002261	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
000004416.1078167	AGP Mercola Food, VegSprD8	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S137.141252	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V35, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
HI.20.11a.414621	EMP pilot, soil metagenome and 16S, soil	QDB_0808	ENVO:00001998	soil	0.19691344644	0	0.000604878446618	ENVO:00001998	ENVO:00001998	soil	ENVO:00000111	forest	ENVO:00000879	Tropical and subtropical moist broadleaf forest biome
